Team,GP,WIN%,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,WIN%_15,OFFRTG_15,DEFRTG_15,NETRTG_15,W_Post
Toronto Raptors,52,0.6729999999999999,0.5,0.326,0.14400000000000002,0.297,0.495,0.262,0.15,0.26,2015-16,13,0.846,112.6,105.7,6.9,21
Utah Jazz,52,0.5,0.49700000000000005,0.293,0.159,0.308,0.496,0.306,0.156,0.27899999999999997,2015-16,16,0.625,107.5,101.3,6.2,14
Washington Wizards,51,0.451,0.509,0.265,0.147,0.243,0.526,0.276,0.168,0.275,2015-16,16,0.43799999999999994,107.1,108.9,-1.8,18
Atlanta Hawks,56,0.5710000000000001,0.507,0.284,0.156,0.28,0.508,0.22899999999999998,0.156,0.28800000000000003,2016-17,17,0.588,106.7,107.9,-1.2,11
Boston Celtics,57,0.649,0.528,0.261,0.131,0.258,0.506,0.29,0.145,0.303,2016-17,17,0.706,113.7,109.7,4.0,16
Brooklyn Nets,56,0.161,0.507,0.276,0.166,0.243,0.518,0.27,0.128,0.292,2016-17,17,0.059000000000000004,105.1,112.3,-7.3,11
Charlotte Hornets,56,0.429,0.496,0.284,0.125,0.252,0.512,0.213,0.132,0.251,2016-17,16,0.25,105.1,108.0,-2.9,12
Chicago Bulls,57,0.491,0.478,0.284,0.141,0.326,0.513,0.21600000000000003,0.13699999999999998,0.266,2016-17,16,0.5,108.0,110.0,-2.0,13
Cleveland Cavaliers,55,0.7090000000000001,0.542,0.29,0.141,0.281,0.513,0.22,0.138,0.28,2016-17,16,0.625,115.5,111.5,4.0,12
Dallas Mavericks,56,0.39299999999999996,0.506,0.22,0.125,0.217,0.529,0.28800000000000003,0.162,0.268,2016-17,17,0.588,109.9,105.0,4.9,11
Denver Nuggets,56,0.446,0.52,0.28600000000000003,0.155,0.33399999999999996,0.534,0.256,0.11900000000000001,0.248,2016-17,18,0.556,115.3,114.3,1.0,15
Detroit Pistons,57,0.474,0.499,0.221,0.128,0.28,0.512,0.261,0.133,0.23,2016-17,15,0.6,108.3,106.0,2.3,10
Golden State Warriors,56,0.8390000000000001,0.5710000000000001,0.268,0.14400000000000002,0.266,0.488,0.263,0.151,0.282,2016-17,16,0.813,118.5,104.5,14.0,20
Houston Rockets,58,0.69,0.5479999999999999,0.29100000000000004,0.153,0.28300000000000003,0.517,0.257,0.152,0.281,2016-17,16,0.563,112.0,106.8,5.2,15
Indiana Pacers,57,0.509,0.515,0.27,0.141,0.24100000000000002,0.512,0.28300000000000003,0.153,0.29,2016-17,18,0.5,109.2,109.5,-0.3,13
LA Clippers,56,0.625,0.531,0.301,0.134,0.258,0.499,0.278,0.136,0.271,2016-17,14,0.5,110.8,113.1,-2.3,16
Los Angeles Lakers,58,0.32799999999999996,0.498,0.27,0.154,0.289,0.537,0.27899999999999997,0.141,0.282,2016-17,14,0.28600000000000003,104.4,111.7,-7.3,7
Memphis Grizzlies,58,0.586,0.486,0.29100000000000004,0.138,0.293,0.49700000000000005,0.36,0.154,0.26899999999999996,2016-17,16,0.563,111.1,107.9,3.2,9
Miami Heat,57,0.439,0.506,0.251,0.141,0.278,0.49700000000000005,0.276,0.139,0.282,2016-17,16,0.875,112.9,104.7,8.2,16
Milwaukee Bucks,55,0.455,0.53,0.28600000000000003,0.146,0.27,0.517,0.28300000000000003,0.153,0.295,2016-17,17,0.294,109.2,113.8,-4.6,17
Minnesota Timberwolves,57,0.386,0.511,0.28600000000000003,0.14800000000000002,0.304,0.53,0.28,0.14800000000000002,0.28600000000000003,2016-17,17,0.47100000000000003,112.1,112.8,-0.7,9
New Orleans Pelicans,57,0.40399999999999997,0.501,0.256,0.13,0.226,0.505,0.23399999999999999,0.13699999999999998,0.272,2016-17,16,0.43799999999999994,106.0,109.9,-3.9,11
New York Knicks,57,0.40399999999999997,0.5,0.237,0.14400000000000002,0.314,0.508,0.28,0.131,0.302,2016-17,17,0.294,109.3,112.6,-3.3,8
Oklahoma City Thunder,57,0.561,0.49700000000000005,0.29600000000000004,0.153,0.319,0.51,0.281,0.14,0.26899999999999996,2016-17,16,0.5,105.2,110.1,-4.9,15
Orlando Magic,58,0.36200000000000004,0.49,0.242,0.139,0.266,0.519,0.259,0.136,0.27699999999999997,2016-17,16,0.25,100.9,112.4,-11.5,8
Philadelphia 76ers,56,0.375,0.499,0.261,0.168,0.27,0.512,0.298,0.154,0.28600000000000003,2016-17,18,0.5,104.2,108.3,-4.1,7
Phoenix Suns,57,0.316,0.49200000000000005,0.297,0.155,0.303,0.529,0.335,0.152,0.28,2016-17,17,0.294,110.0,114.3,-4.3,6
Portland Trail Blazers,56,0.41100000000000003,0.512,0.27,0.139,0.266,0.512,0.32,0.131,0.284,2016-17,14,0.35700000000000004,106.2,110.2,-4.0,18
